city,time_utc,month,hour,ghi_w_m2,ambient_c,wind_m_s,baseline_roof_temp_c,ant_roof_temp_c,temp_drop_c,cooling_saved_w_m2,electric_saved_kwh_m2_hour
marseille,20170101:0000,1,0,0.0,9.35,3.63,7.195327877998352,7.0990576688200235,0.09627020917832851,0.0,0.0
marseille,20170101:0100,1,1,0.0,9.09,3.23,6.7947728000581264,6.6938018798828125,0.10097092017531395,0.0,0.0
marseille,20170101:0200,1,2,0.0,8.83,2.84,6.3780176267027855,6.272025508806109,0.10599211789667606,0.0,0.0
marseille,20170101:0300,1,3,0.0,8.56,2.44,5.922167636454105,5.810522800311446,0.11164483614265919,0.0,0.0
marseille,20170101:0400,1,4,0.0,8.3,2.04,5.444086324423552,5.326221790164709,0.11786453425884247,0.0,0.0
marseille,20170101:0500,1,5,0.0,8.04,1.64,4.9249063059687614,4.800226278603077,0.12468002736568451,0.0,0.0
marseille,20170101:0600,1,6,0.0,7.78,1.24,4.351740311831236,4.219653755426407,0.13208655640482903,0.0,0.0
marseille,20170101:0700,1,7,0.0,7.52,0.84,3.705645725131035,3.5656647384166718,0.1399809867143631,0.0,0.0
marseille,20170101:0800,1,8,89.0,8.72,1.79,10.13433899730444,7.380633354187012,2.753705643117428,0.0,0.0
marseille,20170101:0900,1,9,195.0,9.64,1.72,16.325587071478367,10.42188560590148,5.903701465576887,0.0,0.0
marseille,20170101:1000,1,10,243.0,10.96,1.52,20.343264061957598,12.74597305804491,7.597291003912687,0.0,0.0
marseille,20170101:1100,1,11,258.0,12.2,2.0,21.277076713740826,14.04727908782661,7.229797625914216,0.0,0.0
marseille,20170101:1200,1,12,306.0,12.9,2.62,22.869889475405216,15.32164161093533,7.548247864469886,0.0,0.0
marseille,20170101:1300,1,13,199.0,13.25,3.52,18.04803012870252,13.772495947778225,4.275534180924296,0.0,0.0
marseille,20170101:1400,1,14,46.0,13.31,3.79,12.70868994295597,11.679392326623201,1.0292976163327694,0.0,0.0
marseille,20170101:1500,1,15,55.0,13.12,3.59,12.8213663212955,11.572074517607689,1.249291803687811,0.0,0.0
marseille,20170101:1600,1,16,0.0,11.9,4.0,9.817897733300924,9.724120292812586,0.09377744048833847,0.0,0.0
marseille,20170101:1700,1,17,0.0,11.12,3.59,8.91757933422923,8.819684395566583,0.0978949386626482,0.0,0.0
marseille,20170101:1800,1,18,0.0,10.85,3.17,8.495599431917071,8.392698224633932,0.10290120728313923,0.0,0.0
marseille,20170101:1900,1,19,0.0,10.53,2.83,8.03761014714837,7.930353619158268,0.10725652799010277,0.0,0.0
marseille,20170101:2000,1,20,0.0,10.26,2.48,7.604984166100621,7.4928248301148415,0.11215933598577976,0.0,0.0
marseille,20170101:2100,1,21,0.0,10.48,2.34,7.746079294010997,7.631629090756178,0.11445020325481892,0.0,0.0
marseille,20170101:2200,1,22,0.0,10.19,1.38,6.8182204850018024,6.687387581914663,0.13083290308713913,0.0,0.0
marseille,20170101:2300,1,23,0.0,10.36,0.9,6.530875451862812,6.390598230063915,0.1402772217988968,0.0,0.0
