location,lat,lon,time_utc,month,hour,ghi_w_m2,ambient_c,wind_m_s,baseline_roof_temp_c,ant_roof_temp_c,temp_drop_c,cooling_saved_w_m2,electric_saved_kwh_m2_hour
name,43.913723,4.801025,20160101:0000,1,0,0.0,8.49,2.35,5.80642675049603,5.6934405118227005,0.11298623867332935,0.0,0.0
name,43.913723,4.801025,20160101:0100,1,1,0.0,8.39,2.11,5.573883708566427,5.457120798528194,0.1167629100382328,0.0,0.0
name,43.913723,4.801025,20160101:0200,1,2,0.0,8.29,1.87,5.327173341065645,5.206421297043562,0.12075204402208328,0.0,0.0
name,43.913723,4.801025,20160101:0300,1,3,0.0,8.19,1.64,5.071161296218634,4.946386478841305,0.12477481737732887,0.0,0.0
name,43.913723,4.801025,20160101:0400,1,4,0.0,8.09,1.4,4.789193216711283,4.660010598599911,0.129182618111372,0.0,0.0
name,43.913723,4.801025,20160101:0500,1,5,0.0,8.0,1.16,4.4938006810843945,4.3600089475512505,0.133791733533144,0.0,0.0
name,43.913723,4.801025,20160101:0600,1,6,0.0,7.9,0.92,4.160761646926403,4.022207595407963,0.13855405151844025,0.0,0.0
name,43.913723,4.801025,20160101:0700,1,7,0.0,7.8,0.68,3.793664313852787,3.650259282439947,0.1434050314128399,0.0,0.0
name,43.913723,4.801025,20160101:0800,1,8,57.0,5.47,0.83,5.379035994410515,3.056977204978466,2.322058789432049,0.0,0.0
name,43.913723,4.801025,20160101:0900,1,9,100.0,7.56,0.69,10.210256278514862,6.132631842046976,4.077624436467886,0.0,0.0
name,43.913723,4.801025,20160101:1000,1,10,231.0,9.14,1.03,19.147017113864422,10.95208590850234,8.194931205362082,0.0,0.0
name,43.913723,4.801025,20160101:1100,1,11,130.0,10.52,1.66,13.983898013830185,9.935677386820316,4.048220627009869,0.0,0.0
name,43.913723,4.801025,20160101:1200,1,12,157.0,11.63,2.83,15.408895490691066,11.57874678261578,3.830148708075285,0.0,0.0
name,43.913723,4.801025,20160101:1300,1,13,166.0,12.66,4.0,16.054407255724072,12.715079989284277,3.3393272664397955,0.0,0.0
name,43.913723,4.801025,20160101:1400,1,14,102.0,12.74,3.52,14.12041088566184,11.867352053523064,2.253058832138777,0.0,0.0
name,43.913723,4.801025,20160101:1500,1,15,92.0,12.66,3.38,13.710342580452561,11.620745407417417,2.089597173035145,0.0,0.0
name,43.913723,4.801025,20160101:1600,1,16,0.0,12.16,3.38,9.860971318557858,9.759864080697298,0.10110723786056042,0.0,0.0
name,43.913723,4.801025,20160101:1700,1,17,0.0,11.71,3.59,9.496199730783701,9.397920090705156,0.09827964007854462,0.0,0.0
name,43.913723,4.801025,20160101:1800,1,18,0.0,11.43,4.07,9.377938695251942,9.285213071852922,0.09272562339901924,0.0,0.0
