location,lat,lon,time_utc,month,hour,ghi_w_m2,ambient_c,wind_m_s,baseline_shell_temp_c,ant_shell_temp_c,temp_drop_c,equiv_heat_reduction_w_m2,equiv_electric_saved_kwh_m2_hour
name,43.913723,4.801025,20160101:0000,1,0,0.0,8.49,2.35,5.910610631108284,5.800709016621113,0.10990161448717117,0.0,0.0
name,43.913723,4.801025,20160101:0100,1,1,0.0,8.39,2.11,5.681675039231777,5.567971393465996,0.1137036457657814,0.0,0.0
name,43.913723,4.801025,20160101:0200,1,2,0.0,8.29,1.87,5.438790284097195,5.32105527818203,0.11773500591516495,0.0,0.0
name,43.913723,4.801025,20160101:0300,1,3,0.0,8.19,1.64,5.186653360724449,5.064835138618946,0.12181822210550308,0.0,0.0
name,43.913723,4.801025,20160101:0400,1,4,0.0,8.09,1.4,4.908953979611397,4.782638363540173,0.1263156160712242,0.0,0.0
name,43.913723,4.801025,20160101:0500,1,5,0.0,8.0,1.16,4.618055336177349,4.487006068229675,0.1310492679476738,0.0,0.0
name,43.913723,4.801025,20160101:0600,1,6,0.0,7.9,0.92,4.28969819098711,4.153718240559101,0.13597995042800903,0.0,0.0
name,43.913723,4.801025,20160101:0700,1,7,0.0,7.8,0.68,3.9274221658706665,3.7863660231232643,0.1410561427474022,0.0,0.0
name,43.913723,4.801025,20160101:0800,1,8,57.0,5.47,0.83,4.109066277742386,2.6492541283369064,1.4598121494054794,17.829600000000003,0.00557175
name,43.913723,4.801025,20160101:0900,1,9,100.0,7.56,0.69,7.830497957766056,5.294768065214157,2.535729892551899,31.28,0.009775
name,43.913723,4.801025,20160101:1000,1,10,231.0,9.14,1.03,14.126504063606262,9.062946736812592,5.063557326793671,72.2568,0.02258025
name,43.913723,4.801025,20160101:1100,1,11,130.0,10.52,1.66,11.573530472815037,9.074557796120644,2.498972676694393,40.664,0.0127075
name,43.913723,4.801025,20160101:1200,1,12,157.0,11.63,2.83,13.093890137970448,10.7432921230793,2.3505980148911476,49.1096,0.01534675
name,43.913723,4.801025,20160101:1300,1,13,166.0,12.66,4.0,14.026223421096802,11.982823610305786,2.0433998107910156,51.924800000000005,0.0162265
name,43.913723,4.801025,20160101:1400,1,14,102.0,12.74,3.52,12.81053889542818,11.418719738721848,1.3918191567063332,31.905600000000003,0.009970500000000002
name,43.913723,4.801025,20160101:1500,1,15,92.0,12.66,3.38,12.510057054460049,11.215798668563366,1.2942583858966827,28.777600000000003,0.008993000000000001
name,43.913723,4.801025,20160101:1600,1,16,0.0,12.16,3.38,9.953886270523071,9.855863265693188,0.09802300482988358,0.0,0.0
name,43.913723,4.801025,20160101:1700,1,17,0.0,11.71,3.59,9.586448222398758,9.491236340254545,0.09521188214421272,0.0,0.0
name,43.913723,4.801025,20160101:1800,1,18,0.0,11.43,4.07,9.462965242564678,9.373259153217077,0.08970608934760094,0.0,0.0
name,43.913723,4.801025,20160101:1900,1,19,0.0,11.34,4.34,9.450454246252775,9.363560732454062,0.08689351379871368,0.0,0.0
name,43.913723,4.801025,20160101:2000,1,20,0.0,11.24,4.48,9.389223717153072,9.303759150207043,0.08546456694602966,0.0,0.0
name,43.913723,4.801025,20160101:2100,1,21,0.0,11.16,4.69,9.363475739955902,9.280035011470318,0.08344072848558426,0.0,0.0
name,43.913723,4.801025,20160101:2200,1,22,0.0,11.09,4.97,9.360591471195221,9.279693700373173,0.08089777082204819,0.0,0.0
name,43.913723,4.801025,20160101:2300,1,23,0.0,11.09,5.1,9.389597661793232,9.30981233716011,0.07978532463312149,0.0,0.0
name,43.913723,4.801025,20160102:0000,1,0,0.0,11.16,5.31,9.503378197550774,9.425287190824747,0.07809100672602654,0.0,0.0
name,43.913723,4.801025,20160102:0100,1,1,0.0,11.2,5.59,9.59905706346035,9.523147866129875,0.07590919733047485,0.0,0.0
name,43.913723,4.801025,20160102:0200,1,2,0.0,11.2,5.59,9.59905706346035,9.523147866129875,0.07590919733047485,0.0,0.0
name,43.913723,4.801025,20160102:0300,1,3,0.0,11.32,5.38,9.675381667912006,9.59775809198618,0.07762357592582703,0.0,0.0
name,43.913723,4.801025,20160102:0400,1,4,0.0,11.27,5.24,9.596987571567297,9.518259707838297,0.07872786372900009,0.0,0.0
name,43.913723,4.801025,20160102:0500,1,5,0.0,10.65,4.76,8.878725077956915,8.796237148344517,0.08248792961239815,0.0,0.0
name,43.913723,4.801025,20160102:0600,1,6,0.0,10.66,4.69,8.871657121926546,8.788525350391865,0.08313177153468132,0.0,0.0
name,43.913723,4.801025,20160102:0700,1,7,0.0,10.6,4.48,8.75994797796011,8.67488294839859,0.08506502956151962,0.0,0.0
name,43.913723,4.801025,20160102:0800,1,8,10.0,10.75,2.83,8.600449971854687,8.352016843855381,0.24843312799930573,3.128,0.0009775
name,43.913723,4.801025,20160102:0900,1,9,0.0,10.85,1.03,7.270103469491005,7.134732156991959,0.13537131249904633,0.0,0.0
name,43.913723,4.801025,20160102:1000,1,10,63.0,11.66,0.41,10.130269229412079,8.348391726613045,1.7818775027990341,19.706400000000002,0.0061582500000000005
name,43.913723,4.801025,20160102:1100,1,11,325.0,12.49,1.72,19.406782537698746,13.525832295417786,5.88095024228096,101.66000000000001,0.03176875
name,43.913723,4.801025,20160102:1200,1,12,203.0,12.73,2.21,15.610945373773575,12.23755780607462,3.3733875676989555,63.498400000000004,0.01984325
name,43.913723,4.801025,20160102:1300,1,13,55.0,12.74,2.28,11.540856137871742,10.550446435809135,0.9904097020626068,17.204,0.00537625
name,43.913723,4.801025,20160102:1400,1,14,101.0,12.52,2.34,12.58637897670269,10.886034369468689,1.7003446072340012,31.592800000000004,0.00987275
name,43.913723,4.801025,20160102:1500,1,15,35.0,11.34,3.03,9.852388687431812,9.264999888837337,0.5873887985944748,10.948,0.0034212500000000002
name,43.913723,4.801025,20160102:1600,1,16,0.0,10.37,2.9,8.009870517998934,7.906786799430847,0.10308371856808662,0.0,0.0
name,43.913723,4.801025,20160102:1700,1,17,0.0,9.63,2.76,7.223959639668465,7.119411937892437,0.10454770177602768,0.0,0.0
name,43.913723,4.801025,20160102:1800,1,18,0.0,8.82,3.17,6.600019372999668,6.501543074846268,0.09847629815340042,0.0,0.0
name,43.913723,4.801025,20160102:1900,1,19,0.0,7.85,3.31,5.701036788523197,5.604966767132282,0.09607002139091492,0.0,0.0
name,43.913723,4.801025,20160102:2000,1,20,0.0,7.32,3.31,5.181166455149651,5.085444953292608,0.09572150185704231,0.0,0.0
name,43.913723,4.801025,20160102:2100,1,21,0.0,6.77,3.03,4.535684417933226,4.436736665666103,0.09894775226712227,0.0,0.0
name,43.913723,4.801025,20160102:2200,1,22,0.0,6.21,2.76,3.8744645193219185,3.7721914425492287,0.10227307677268982,0.0,0.0
name,43.913723,4.801025,20160102:2300,1,23,0.0,5.67,2.69,3.3146482706069946,3.2117374427616596,0.102910827845335,0.0,0.0
name,43.913723,4.801025,20160103:0000,1,0,0.0,5.2,2.62,2.822743207216263,2.7191312052309513,0.10361200198531151,0.0,0.0
name,43.913723,4.801025,20160103:0100,1,1,0.0,4.91,2.62,2.538791038095951,2.435373943299055,0.10341709479689598,0.0,0.0
name,43.913723,4.801025,20160103:0200,1,2,0.0,4.65,2.62,2.284208834171295,2.180966641753912,0.1032421924173832,0.0,0.0
name,43.913723,4.801025,20160103:0300,1,3,0.0,4.4,2.62,2.039414346218109,1.936340406537056,0.10307393968105316,0.0,0.0
name,43.913723,4.801025,20160103:0400,1,4,0.0,4.21,2.55,1.821092814207077,1.717112958431244,0.10397985577583313,0.0,0.0
name,43.913723,4.801025,20160103:0500,1,5,0.0,3.9,2.41,1.4504559524357319,1.3445616140961647,0.10589433833956718,0.0,0.0
name,43.913723,4.801025,20160103:0600,1,6,0.0,3.68,2.07,1.0553722083568573,0.9441418945789337,0.11123031377792358,0.0,0.0
name,43.913723,4.801025,20160103:0700,1,7,0.0,2.83,1.93,0.1429639384150505,0.029905252158641815,0.11305868625640869,0.0,0.0
name,43.913723,4.801025,20160103:0800,1,8,76.0,2.6,1.86,2.218238338828087,0.7461751997470856,1.4720631390810013,23.7728,0.007428999999999999
name,43.913723,4.801025,20160103:0900,1,9,136.0,5.23,1.1,6.8777842447161674,3.8423405960202217,3.0354436486959457,42.540800000000004,0.013294
name,43.913723,4.801025,20160103:1000,1,10,250.0,7.77,0.9,13.731239885091782,8.051355965435505,5.679883919656277,78.2,0.0244375
name,43.913723,4.801025,20160103:1100,1,11,215.0,8.83,0.62,13.79577986896038,8.479009494185448,5.316770374774933,67.25200000000001,0.021016250000000004
name,43.913723,4.801025,20160103:1200,1,12,260.0,10.07,0.69,16.64942093193531,10.435838103294373,6.213582828640938,81.328,0.025415
name,43.913723,4.801025,20160103:1300,1,13,195.0,10.57,0.55,14.703037515282631,9.78167325258255,4.921364262700081,60.996,0.019061250000000002
name,43.913723,4.801025,20160103:1400,1,14,138.0,10.73,1.31,12.140231281518936,9.266911074519157,2.8733202069997787,43.1664,0.0134895
name,43.913723,4.801025,20160103:1500,1,15,56.0,10.5,1.66,9.22641295939684,8.075134195387363,1.1512787640094757,17.5168,0.005474
name,43.913723,4.801025,20160103:1600,1,16,0.0,9.67,1.86,6.77986104041338,6.661053150892258,0.11880788952112198,0.0,0.0
name,43.913723,4.801025,20160103:1700,1,17,0.0,8.81,2.0,6.027306169271469,5.911478102207184,0.11582806706428528,0.0,0.0
name,43.913723,4.801025,20160103:1800,1,18,0.0,8.27,2.07,5.541245304048061,5.4269541427493095,0.11429116129875183,0.0,0.0
name,43.913723,4.801025,20160103:1900,1,19,0.0,7.71,2.55,5.247167348861694,5.140841007232666,0.10632634162902832,0.0,0.0
name,43.913723,4.801025,20160103:2000,1,20,0.0,7.75,2.55,5.286318324506283,5.179965328425169,0.10635299608111382,0.0,0.0
name,43.913723,4.801025,20160103:2100,1,21,0.0,7.77,2.28,5.169589146971703,5.059060342609882,0.11052880436182022,0.0,0.0
name,43.913723,4.801025,20160103:2200,1,22,0.0,7.37,2.55,4.914380647242069,4.808281064033508,0.10609958320856094,0.0,0.0
name,43.913723,4.801025,20160103:2300,1,23,0.0,7.27,2.28,4.680621773004532,4.570425674319267,0.11019609868526459,0.0,0.0
name,43.913723,4.801025,20160104:0000,1,0,0.0,7.21,1.93,4.421656168997288,4.305677227675915,0.11597894132137299,0.0,0.0
name,43.913723,4.801025,20160104:0100,1,1,0.0,7.04,2.14,4.379222616553307,4.266909696161747,0.1123129203915596,0.0,0.0
name,43.913723,4.801025,20160104:0200,1,2,0.0,6.91,1.93,4.128626957535744,4.012845829129219,0.11578112840652466,0.0,0.0
name,43.913723,4.801025,20160104:0300,1,3,0.0,6.56,1.38,3.4017418324947357,3.2759960740804672,0.1257457584142685,0.0,0.0
name,43.913723,4.801025,20160104:0400,1,4,0.0,5.89,0.0,1.0566319525241852,0.9022917225956917,0.1543402299284935,0.0,0.0
name,43.913723,4.801025,20160104:0500,1,5,0.0,6.61,0.0,1.753973439335823,1.5994122624397278,0.15456117689609528,0.0,0.0
name,43.913723,4.801025,20160104:0600,1,6,0.0,7.42,0.21,2.9070624709129333,2.7562256529927254,0.15083681792020798,0.0,0.0
name,43.913723,4.801025,20160104:0700,1,7,0.0,5.99,1.31,2.7894875034689903,2.662709876894951,0.12677762657403946,0.0,0.0
name,43.913723,4.801025,20160104:0800,1,8,78.0,6.93,1.1,6.390285827219486,4.5931656658649445,1.7971201613545418,24.398400000000002,0.0076245
name,43.913723,4.801025,20160104:0900,1,9,131.0,8.36,0.76,9.828232266008854,6.634836569428444,3.19339569658041,40.976800000000004,0.01280525
name,43.913723,4.801025,20160104:1000,1,10,220.0,10.19,1.24,14.480268992483616,9.917485788464546,4.56278320401907,68.816,0.021505
name,43.913723,4.801025,20160104:1100,1,11,214.0,11.03,1.79,14.579787664115429,10.686804801225662,3.8929828628897667,66.9392,0.0209185
name,43.913723,4.801025,20160104:1200,1,12,257.0,11.89,2.07,16.416933313012123,12.056705616414547,4.360227696597576,80.3896,0.025121749999999998
name,43.913723,4.801025,20160104:1300,1,13,219.0,12.6,2.21,15.926179364323616,12.297756522893906,3.6284228414297104,68.5032,0.021407250000000003
name,43.913723,4.801025,20160104:1400,1,14,122.0,12.59,1.79,13.29898614436388,11.023646779358387,2.275339365005493,38.1616,0.0119255
name,43.913723,4.801025,20160104:1500,1,15,57.0,12.25,1.24,10.817607417702675,9.529858194291592,1.2877492234110832,17.829600000000003,0.00557175
name,43.913723,4.801025,20160104:1600,1,16,0.0,11.33,1.72,8.306502997875214,8.18414218723774,0.12236081063747406,0.0,0.0
name,43.913723,4.801025,20160104:1700,1,17,0.0,10.31,2.0,7.492634952068329,7.375827319920063,0.11680763214826584,0.0,0.0
name,43.913723,4.801025,20160104:1800,1,18,0.0,9.69,1.93,6.843860223889351,6.726257652044296,0.11760257184505463,0.0,0.0
name,43.913723,4.801025,20160104:1900,1,19,0.0,8.93,1.86,6.05732187628746,5.938994102180004,0.11832777410745621,0.0,0.0
name,43.913723,4.801025,20160104:2000,1,20,0.0,8.5,1.93,5.6816306710243225,5.564804375171661,0.11682629585266113,0.0,0.0
