location,lat,lon,time_utc,month,hour,ghi_w_m2,ambient_c,wind_m_s,baseline_shell_temp_c,ant_shell_temp_c,temp_drop_c,equiv_heat_reduction_w_m2,equiv_electric_saved_kwh_m2_hour
rome,41.8941,12.496948,20190101:0000,1,0,0.0,6.56,3.95,4.643458761274815,4.555593002587557,0.08786575868725777,0.0,0.0
rome,41.8941,12.496948,20190101:0100,1,1,0.0,6.28,3.99,4.379990063607693,4.292728137224913,0.08726192638278008,0.0,0.0
rome,41.8941,12.496948,20190101:0200,1,2,0.0,5.99,4.04,4.109342880547047,4.022791013121605,0.08655186742544174,0.0,0.0
rome,41.8941,12.496948,20190101:0300,1,3,0.0,5.71,4.09,3.848242349922657,3.7623872980475426,0.08585505187511444,0.0,0.0
rome,41.8941,12.496948,20190101:0400,1,4,0.0,5.42,4.14,3.577039334923029,3.491880763322115,0.085158571600914,0.0,0.0
rome,41.8941,12.496948,20190101:0500,1,5,0.0,5.14,4.19,3.3153968304395676,3.2309217751026154,0.08447505533695221,0.0,0.0
rome,41.8941,12.496948,20190101:0600,1,6,0.0,4.86,4.23,3.050837814807892,2.9669402725994587,0.08389754220843315,0.0,0.0
rome,41.8941,12.496948,20190101:0700,1,7,44.0,4.57,4.28,3.6515447311103344,3.063558917492628,0.5879858136177063,13.763200000000001,0.004301
rome,41.8941,12.496948,20190101:0800,1,8,190.0,5.81,3.79,7.897143196314573,5.473797079175711,2.4233461171388626,59.432,0.0185725
rome,41.8941,12.496948,20190101:0900,1,9,315.0,7.32,3.31,12.376591563224792,8.125284630805254,4.2513069324195385,98.53200000000001,0.030791250000000003
rome,41.8941,12.496948,20190101:1000,1,10,399.0,8.67,3.52,15.344883762300014,10.192177407443523,5.152706354856491,124.80720000000001,0.03900225
rome,41.8941,12.496948,20190101:1100,1,11,429.0,9.65,3.24,17.282388731837273,11.505901142954826,5.776487588882446,134.1912,0.04193475
rome,41.8941,12.496948,20190101:1200,1,12,408.0,10.27,2.83,17.92496208101511,12.025501858443022,5.899460222572088,127.62240000000001,0.03988200000000001
rome,41.8941,12.496948,20190101:1300,1,13,324.0,10.52,2.55,16.412790417671204,11.443590521812439,4.969199895858765,101.3472,0.031671
rome,41.8941,12.496948,20190101:1400,1,14,208.0,10.53,2.28,13.585976418107748,10.165635384619236,3.420341033488512,65.06240000000001,0.020332
rome,41.8941,12.496948,20190101:1500,1,15,52.0,9.93,1.93,8.628319799900055,7.611329406499863,1.0169903934001923,16.265600000000003,0.005083
rome,41.8941,12.496948,20190101:1600,1,16,0.0,8.73,2.21,6.07030376791954,5.958014316856861,0.11228945106267929,0.0,0.0
rome,41.8941,12.496948,20190101:1700,1,17,0.0,7.66,2.34,5.093577466905117,4.98407069593668,0.1095067709684372,0.0,0.0
rome,41.8941,12.496948,20190101:1800,1,18,0.0,6.59,2.14,3.9393440261483192,3.827330619096756,0.11201340705156326,0.0,0.0
rome,41.8941,12.496948,20190101:1900,1,19,0.0,5.66,2.07,2.990594618022442,2.878035716712475,0.11255890130996704,0.0,0.0
rome,41.8941,12.496948,20190101:2000,1,20,0.0,5.44,1.52,2.4172846227884293,2.29497779160738,0.12230683118104935,0.0,0.0
rome,41.8941,12.496948,20190101:2100,1,21,0.0,5.15,1.38,2.0274056494235992,1.9025550782680511,0.1248505711555481,0.0,0.0
rome,41.8941,12.496948,20190101:2200,1,22,0.0,4.16,1.52,1.1688755825161934,1.0474006831645966,0.12147489935159683,0.0,0.0
rome,41.8941,12.496948,20190101:2300,1,23,0.0,3.15,1.59,0.2339966595172882,0.11452469974756241,0.1194719597697258,0.0,0.0
rome,41.8941,12.496948,20190102:0000,1,0,0.0,2.52,1.59,-0.3806881979107857,-0.4997430741786957,0.11905487626791,0.0,0.0
rome,41.8941,12.496948,20190102:0100,1,1,0.0,2.34,1.52,-0.606333389878273,-0.7266133651137352,0.12027997523546219,0.0,0.0
rome,41.8941,12.496948,20190102:0200,1,2,0.0,2.24,1.59,-0.6538877263665199,-0.7727565243840218,0.11886879801750183,0.0,0.0
rome,41.8941,12.496948,20190102:0300,1,3,0.0,1.91,1.72,-0.8875923976302147,-1.003803014755249,0.11621061712503433,0.0,0.0
rome,41.8941,12.496948,20190102:0400,1,4,0.0,1.46,1.93,-1.1955608427524567,-1.3076930493116379,0.11213220655918121,0.0,0.0
rome,41.8941,12.496948,20190102:0500,1,5,0.0,1.47,2.07,-1.104909610003233,-1.214643083512783,0.1097334735095501,0.0,0.0
rome,41.8941,12.496948,20190102:0600,1,6,0.0,1.85,2.21,-0.6571687385439873,-0.7648419961333275,0.10767325758934021,0.0,0.0
rome,41.8941,12.496948,20190102:0700,1,7,29.0,2.74,2.07,0.9908778220415115,0.38486298173666,0.6060148403048515,9.071200000000001,0.00283475
rome,41.8941,12.496948,20190102:0800,1,8,107.0,4.7,2.0,5.187791846692562,3.234644904732704,1.953146941959858,33.4696,0.01045925
rome,41.8941,12.496948,20190102:0900,1,9,323.0,7.72,2.0,14.399307630956173,8.834405429661274,5.564902201294899,101.0344,0.031573250000000004
rome,41.8941,12.496948,20190102:1000,1,10,396.0,8.49,2.62,16.21903233230114,10.24168986827135,5.977342464029789,123.86880000000001,0.038709
rome,41.8941,12.496948,20190102:1100,1,11,311.0,9.78,4.07,14.116632025688887,10.404182448983192,3.712449576705694,97.28080000000001,0.030400250000000004
rome,41.8941,12.496948,20190102:1200,1,12,412.0,10.33,5.38,15.647457502782345,11.561835147440434,4.085622355341911,128.8736,0.040273
rome,41.8941,12.496948,20190102:1300,1,13,330.0,11.06,6.34,14.567700289189816,11.62690045312047,2.9407998360693455,103.224,0.0322575
rome,41.8941,12.496948,20190102:1400,1,14,207.0,11.24,6.83,12.809655610471964,11.032136082649231,1.777519527822733,64.7496,0.02023425
rome,41.8941,12.496948,20190102:1500,1,15,60.0,10.39,6.62,9.857857376337051,9.281097445636988,0.5767599307000637,18.768,0.005865
rome,41.8941,12.496948,20190102:1600,1,16,0.0,8.72,6.48,7.308666091412306,7.240418121218681,0.0682479701936245,0.0,0.0
rome,41.8941,12.496948,20190102:1700,1,17,0.0,7.37,6.62,5.997940842062235,5.931324940174818,0.06661590188741684,0.0,0.0
rome,41.8941,12.496948,20190102:1800,1,18,0.0,6.42,6.55,5.050070025026798,4.983544535934925,0.06652548909187317,0.0,0.0
rome,41.8941,12.496948,20190102:1900,1,19,0.0,6.72,6.34,5.313827395439148,5.245796293020248,0.06803110241889954,0.0,0.0
rome,41.8941,12.496948,20190102:2000,1,20,0.0,6.32,6.62,4.961787797510624,4.895751867443323,0.0660359300673008,0.0,0.0
rome,41.8941,12.496948,20190102:2100,1,21,0.0,5.7,6.28,4.298182912170887,4.230333864688873,0.0678490474820137,0.0,0.0
rome,41.8941,12.496948,20190102:2200,1,22,0.0,5.18,5.93,3.7278799526393414,3.6579621955752373,0.06991775706410408,0.0,0.0
rome,41.8941,12.496948,20190102:2300,1,23,0.0,4.75,5.86,3.2918954268097878,3.22173397988081,0.07016144692897797,0.0,0.0
rome,41.8941,12.496948,20190103:0000,1,0,0.0,4.5,6.28,3.114397507160902,3.0472229793667793,0.0671745277941227,0.0,0.0
rome,41.8941,12.496948,20190103:0100,1,1,0.0,4.28,6.76,2.968462873250246,2.904392834752798,0.06407003849744797,0.0,0.0
rome,41.8941,12.496948,20190103:0200,1,2,0.0,3.92,6.9,2.6324068382382393,2.5693524070084095,0.06305443122982979,0.0,0.0
rome,41.8941,12.496948,20190103:0300,1,3,0.0,3.52,6.55,2.1882242523133755,2.1233019419014454,0.06492231041193008,0.0,0.0
rome,41.8941,12.496948,20190103:0400,1,4,0.0,3.19,6.34,1.8312144093215466,1.7651598155498505,0.06605459377169609,0.0,0.0
rome,41.8941,12.496948,20190103:0500,1,5,0.0,2.93,6.34,1.5746730752289295,1.5087636560201645,0.06590941920876503,0.0,0.0
rome,41.8941,12.496948,20190103:0600,1,6,0.0,2.68,6.28,1.318813245743513,1.252659186720848,0.06615405902266502,0.0,0.0
rome,41.8941,12.496948,20190103:0700,1,7,46.0,2.77,5.79,2.0768767036497593,1.5744426846504211,0.5024340189993382,14.388800000000002,0.0044965000000000005
rome,41.8941,12.496948,20190103:0800,1,8,195.0,3.34,5.79,5.057961530983448,3.158661164343357,1.899300366640091,60.996,0.019061250000000002
rome,41.8941,12.496948,20190103:0900,1,9,324.0,4.49,5.59,8.363506365567446,5.18891055136919,3.1745958141982555,101.3472,0.031671
rome,41.8941,12.496948,20190103:1000,1,10,408.0,5.56,6.14,10.467629823833704,6.747413352131844,3.7202164717018604,127.62240000000001,0.03988200000000001
rome,41.8941,12.496948,20190103:1100,1,11,228.0,6.22,6.41,8.266600165516138,6.216268800199032,2.0503313653171062,71.31840000000001,0.022287
rome,41.8941,12.496948,20190103:1200,1,12,414.0,6.51,6.48,11.304090172052383,7.674661725759506,3.629428446292877,129.4992,0.0404685
rome,41.8941,12.496948,20190103:1300,1,13,189.0,6.48,6.55,7.913474272936583,6.22791288420558,1.6855613887310028,59.119200000000006,0.01847475
rome,41.8941,12.496948,20190103:1400,1,14,144.0,6.04,6.14,6.849987227469683,5.487936902791262,1.362050324678421,45.043200000000006,0.014076
rome,41.8941,12.496948,20190103:1500,1,15,62.0,5.34,5.59,4.855902623385191,4.187778886407614,0.6681237369775772,19.393600000000003,0.0060605
rome,41.8941,12.496948,20190103:1600,1,16,0.0,4.26,5.66,2.773523386567831,2.702208198606968,0.07131518796086311,0.0,0.0
rome,41.8941,12.496948,20190103:1700,1,17,0.0,3.46,5.59,1.972298938781023,1.9009356945753098,0.07136324420571327,0.0,0.0
rome,41.8941,12.496948,20190103:1800,1,18,0.0,2.86,5.31,1.3282618299126625,1.255123857408762,0.07313797250390053,0.0,0.0
rome,41.8941,12.496948,20190103:1900,1,19,0.0,2.73,5.17,1.1724521405994892,1.0982824116945267,0.07416972890496254,0.0,0.0
rome,41.8941,12.496948,20190103:2000,1,20,0.0,2.39,5.03,0.8088702149689198,0.7337639480829239,0.07510626688599586,0.0,0.0
rome,41.8941,12.496948,20190103:2100,1,21,0.0,2.13,4.83,0.5100562050938606,0.43341973796486855,0.07663646712899208,0.0,0.0
rome,41.8941,12.496948,20190103:2200,1,22,0.0,1.87,4.62,0.2067159116268158,0.12838803231716156,0.07832787930965424,0.0,0.0
rome,41.8941,12.496948,20190103:2300,1,23,0.0,1.63,4.34,-0.0970146432518959,-0.1777968555688858,0.0807822123169899,0.0,0.0
rome,41.8941,12.496948,20190104:0000,1,0,0.0,1.44,4.48,-0.2495029754936695,-0.32884450629353523,0.07934153079986572,0.0,0.0
rome,41.8941,12.496948,20190104:0100,1,1,0.0,1.31,4.69,-0.3283681347966194,-0.4057241603732109,0.07735602557659149,0.0,0.0
rome,41.8941,12.496948,20190104:0200,1,2,0.0,1.24,4.83,-0.36614783108234406,-0.44223980978131294,0.07609197869896889,0.0,0.0
rome,41.8941,12.496948,20190104:0300,1,3,0.0,1.12,4.9,-0.46918679028749466,-0.544609110802412,0.07542232051491737,0.0,0.0
rome,41.8941,12.496948,20190104:0400,1,4,0.0,0.91,4.76,-0.7064153254032135,-0.782910417765379,0.07649509236216545,0.0,0.0
rome,41.8941,12.496948,20190104:0500,1,5,0.0,0.73,4.62,-0.9152093715965748,-0.9928310476243496,0.07762167602777481,0.0,0.0
rome,41.8941,12.496948,20190104:0600,1,6,0.0,0.55,4.62,-1.092363577336073,-1.1698738299310207,0.07751025259494781,0.0,0.0
rome,41.8941,12.496948,20190104:0700,1,7,46.0,0.48,4.55,-0.2940857596695423,-0.8829494379460812,0.5888636782765388,14.388800000000002,0.0044965000000000005
rome,41.8941,12.496948,20190104:0800,1,8,195.0,1.34,4.55,3.399930614978075,1.1659804731607437,2.2339501418173313,60.996,0.019061250000000002
rome,41.8941,12.496948,20190104:0900,1,9,325.0,2.85,4.41,7.43491068482399,3.709151092916727,3.725759591907263,101.66000000000001,0.03176875
