location,lat,lon,time_utc,month,hour,ghi_w_m2,ambient_c,wind_m_s,baseline_shell_temp_c,ant_shell_temp_c,temp_drop_c,equiv_heat_reduction_w_m2,equiv_electric_saved_kwh_m2_hour
tes5,41.709699,12.654289,20110101:0000,1,0,0.0,5.11,1.99,2.4064215645194054,2.2928715869784355,0.11354997754096985,0.0,0.0
tes5,41.709699,12.654289,20110101:0100,1,1,0.0,4.87,1.97,2.160021997988224,2.046288400888443,0.11373359709978104,0.0,0.0
tes5,41.709699,12.654289,20110101:0200,1,2,0.0,4.62,1.95,1.9037782773375511,1.789865866303444,0.11391241103410721,0.0,0.0
tes5,41.709699,12.654289,20110101:0300,1,3,0.0,4.37,1.92,1.6413815692067146,1.527114100754261,0.11426746845245361,0.0,0.0
tes5,41.709699,12.654289,20110101:0400,1,4,0.0,4.12,1.9,1.3849420472979546,1.2704912945628166,0.11445075273513794,0.0,0.0
tes5,41.709699,12.654289,20110101:0500,1,5,0.0,3.88,1.88,1.1381925642490387,1.023550145328045,0.1146424189209938,0.0,0.0
tes5,41.709699,12.654289,20110101:0600,1,6,0.0,3.63,1.85,0.8753503859043121,0.7603431865572929,0.1150071993470192,0.0,0.0
tes5,41.709699,12.654289,20110101:0700,1,7,37.0,3.38,1.83,1.7665033787488937,0.985439196228981,0.7810641825199127,11.5736,0.00361675
tes5,41.709699,12.654289,20110101:0800,1,8,127.0,4.87,1.31,6.131965182721615,3.435943126678467,2.696022056043148,39.7256,0.01241425
tes5,41.709699,12.654289,20110101:0900,1,9,197.0,7.99,0.97,11.857653968036175,7.421151734888554,4.436502233147621,61.62160000000001,0.01925675
tes5,41.709699,12.654289,20110101:1000,1,10,235.0,9.6,0.62,15.333495438098907,9.562456980347633,5.771038457751274,73.50800000000001,0.022971250000000002
tes5,41.709699,12.654289,20110101:1100,1,11,269.0,10.41,0.14,18.634678721427917,11.008594110608101,7.626084610819817,84.14320000000001,0.026294750000000002
tes5,41.709699,12.654289,20110101:1200,1,12,199.0,10.66,0.21,15.451790243387222,9.854826927185059,5.596963316202164,62.24720000000001,0.01945225
tes5,41.709699,12.654289,20110101:1300,1,13,154.0,10.76,0.41,13.279225751757622,9.17013954371214,4.109086208045483,48.171200000000006,0.015053500000000001
tes5,41.709699,12.654289,20110101:1400,1,14,142.0,10.86,0.55,12.762577757239342,9.121803790330887,3.640773966908455,44.4176,0.0138805
tes5,41.709699,12.654289,20110101:1500,1,15,29.0,10.41,0.76,7.722354307770729,6.903319209814072,0.8190350979566574,9.071200000000001,0.00283475
tes5,41.709699,12.654289,20110101:1600,1,16,0.0,9.33,0.9,5.6597865372896194,5.522581487894058,0.13720504939556122,0.0,0.0
tes5,41.709699,12.654289,20110101:1700,1,17,0.0,8.07,1.03,4.564825221896172,4.431055076420307,0.1337701454758644,0.0,0.0
tes5,41.709699,12.654289,20110101:1800,1,18,0.0,7.03,1.24,3.7437772378325462,3.6149435862898827,0.12883365154266357,0.0,0.0
tes5,41.709699,12.654289,20110101:1900,1,19,0.0,5.68,1.38,2.5440092757344246,2.418820969760418,0.12518830597400665,0.0,0.0
tes5,41.709699,12.654289,20110101:2000,1,20,0.0,5.15,1.52,2.134448252618313,2.012329287827015,0.12211896479129791,0.0,0.0
tes5,41.709699,12.654289,20110101:2100,1,21,0.0,4.44,1.66,1.5414982289075851,1.4224918559193611,0.11900637298822403,0.0,0.0
tes5,41.709699,12.654289,20110101:2200,1,22,0.0,3.98,1.66,1.0925845056772232,0.9738816693425179,0.11870283633470535,0.0,0.0
tes5,41.709699,12.654289,20110101:2300,1,23,0.0,3.7,1.66,0.8193275332450867,0.7008099928498268,0.11851754039525986,0.0,0.0
tes5,41.709699,12.654289,20110102:0000,1,0,0.0,3.58,1.72,0.7426693290472031,0.6253429129719734,0.11732641607522964,0.0,0.0
tes5,41.709699,12.654289,20110102:0100,1,1,0.0,3.62,1.72,0.7817158102989197,0.664362795650959,0.11735301464796066,0.0,0.0
tes5,41.709699,12.654289,20110102:0200,1,2,0.0,3.68,1.66,0.7998090982437134,0.6813047453761101,0.1185043528676033,0.0,0.0
tes5,41.709699,12.654289,20110102:0300,1,3,0.0,3.46,1.66,0.585104413330555,0.4667457938194275,0.11835861951112747,0.0,0.0
tes5,41.709699,12.654289,20110102:0400,1,4,0.0,3.49,1.66,0.6143824011087418,0.49600400030612946,0.1183784008026123,0.0,0.0
tes5,41.709699,12.654289,20110102:0500,1,5,0.0,3.46,1.59,0.5364536121487617,0.41677702218294144,0.11967658996582031,0.0,0.0
tes5,41.709699,12.654289,20110102:0600,1,6,0.0,3.43,1.52,0.4568595066666603,0.3358621522784233,0.120997354388237,0.0,0.0
tes5,41.709699,12.654289,20110102:0700,1,7,50.0,3.94,1.31,2.5493037328124046,1.4035625010728836,1.145741231739521,15.64,0.0048875
tes5,41.709699,12.654289,20110102:0800,1,8,190.0,4.83,0.97,8.59544038772583,4.269830286502838,4.325610101222992,59.432,0.0185725
tes5,41.709699,12.654289,20110102:0900,1,9,207.0,7.69,0.76,12.205027975142002,7.266317531466484,4.938710443675518,64.7496,0.02023425
tes5,41.709699,12.654289,20110102:1000,1,10,305.0,9.02,0.48,17.998878732323647,10.272748284041882,7.726130448281765,95.40400000000001,0.029813750000000003
tes5,41.709699,12.654289,20110102:1100,1,11,376.0,9.8,0.21,22.732168957591057,12.51197550445795,10.220193453133106,117.61280000000001,0.036753999999999995
tes5,41.709699,12.654289,20110102:1200,1,12,329.0,10.17,0.62,19.653524085879326,11.726693660020828,7.926830425858498,102.91120000000001,0.03215975
tes5,41.709699,12.654289,20110102:1300,1,13,153.0,10.39,0.76,12.633020803332329,8.957673609256744,3.6753471940755844,47.8584,0.01495575
tes5,41.709699,12.654289,20110102:1400,1,14,172.0,10.29,0.83,13.226482346653938,9.199885353446007,4.0265969932079315,53.8016,0.016812999999999998
tes5,41.709699,12.654289,20110102:1500,1,15,31.0,9.98,0.76,7.386474013328552,6.519982255995274,0.8664917573332787,9.696800000000001,0.00303025
tes5,41.709699,12.654289,20110102:1600,1,16,0.0,9.13,0.83,5.390555560588837,5.251988619565964,0.13856694102287292,0.0,0.0
tes5,41.709699,12.654289,20110102:1700,1,17,0.0,7.72,0.9,4.093941301107407,3.9576400443911552,0.13630125671625137,0.0,0.0
tes5,41.709699,12.654289,20110102:1800,1,18,0.0,6.59,1.03,3.124532401561737,2.991633638739586,0.13289876282215118,0.0,0.0
tes5,41.709699,12.654289,20110102:1900,1,19,0.0,6.12,1.1,2.732967436313629,2.6018155738711357,0.13115186244249344,0.0,0.0
tes5,41.709699,12.654289,20110102:2000,1,20,0.0,5.4,1.31,2.214578688144684,2.088172547519207,0.12640614062547684,0.0,0.0
tes5,41.709699,12.654289,20110102:2100,1,21,0.0,4.88,1.38,1.764225959777832,1.6395478323101997,0.1246781274676323,0.0,0.0
tes5,41.709699,12.654289,20110102:2200,1,22,0.0,4.42,1.45,1.3700874149799347,1.2470844388008118,0.12300297617912292,0.0,0.0
tes5,41.709699,12.654289,20110102:2300,1,23,0.0,4.19,1.38,1.0916421562433243,0.9674064815044403,0.12423567473888397,0.0,0.0
tes5,41.709699,12.654289,20110103:0000,1,0,0.0,3.7,1.45,0.6680384278297424,0.5455023795366287,0.12253604829311371,0.0,0.0
tes5,41.709699,12.654289,20110103:0100,1,1,0.0,3.43,1.45,0.4047643020749092,0.28240393847227097,0.12236036360263824,0.0,0.0
tes5,41.709699,12.654289,20110103:0200,1,2,0.0,3.03,1.66,0.16544733196496964,0.04737425595521927,0.11807307600975037,0.0,0.0
tes5,41.709699,12.654289,20110103:0300,1,3,0.0,2.75,1.79,-0.022008344531059265,-0.13750314712524414,0.11549480259418488,0.0,0.0
tes5,41.709699,12.654289,20110103:0400,1,4,0.0,2.69,1.86,-0.03651294857263565,-0.15071135014295578,0.11419840157032013,0.0,0.0
tes5,41.709699,12.654289,20110103:0500,1,5,0.0,2.62,1.93,-0.062204599380493164,-0.17512168735265732,0.11291708797216415,0.0,0.0
tes5,41.709699,12.654289,20110103:0600,1,6,0.0,2.3,2.0,-0.33356882631778717,-0.44505707919597626,0.11148825287818909,0.0,0.0
tes5,41.709699,12.654289,20110103:0700,1,7,46.0,3.48,1.93,2.1722421422600746,1.2502110004425049,0.9220311418175697,14.388800000000002,0.0044965000000000005
tes5,41.709699,12.654289,20110103:0800,1,8,178.0,4.4,1.66,7.1975793316960335,3.7821032106876373,3.415476121008396,55.6784,0.0173995
tes5,41.709699,12.654289,20110103:0900,1,9,202.0,6.48,1.45,10.129649862647057,6.0983628034591675,4.031287059187889,63.18560000000001,0.0197455
tes5,41.709699,12.654289,20110103:1000,1,10,254.0,8.36,1.31,13.81722915917635,8.648090921342373,5.169138237833977,79.4512,0.0248285
tes5,41.709699,12.654289,20110103:1100,1,11,269.0,9.48,1.1,15.70930477231741,9.966403022408485,5.742901749908924,84.14320000000001,0.026294750000000002
tes5,41.709699,12.654289,20110103:1200,1,12,253.0,9.95,1.1,15.584648437798023,10.175708755850792,5.408939681947231,79.1384,0.02473075
tes5,41.709699,12.654289,20110103:1300,1,13,143.0,9.52,1.31,11.149254404008389,8.168319836258888,2.9809345677495003,44.7304,0.013978250000000001
tes5,41.709699,12.654289,20110103:1400,1,14,109.0,9.17,1.45,9.632698111236095,7.400630936026573,2.2320671752095222,34.095200000000006,0.010654750000000001
tes5,41.709699,12.654289,20110103:1500,1,15,29.0,8.47,1.45,6.290670372545719,5.600544586777687,0.6901257857680321,9.071200000000001,0.00283475
tes5,41.709699,12.654289,20110103:1600,1,16,0.0,7.54,1.59,4.516765400767326,4.394432976841927,0.12233242392539978,0.0,0.0
tes5,41.709699,12.654289,20110103:1700,1,17,0.0,7.0,1.45,3.8855838403105736,3.7609269469976425,0.12465689331293106,0.0,0.0
tes5,41.709699,12.654289,20110103:1800,1,18,0.0,6.39,1.66,3.444390520453453,3.3241068571805954,0.12028366327285767,0.0,0.0
tes5,41.709699,12.654289,20110103:1900,1,19,0.0,6.38,1.52,3.3340394124388695,3.2111264020204544,0.12291301041841507,0.0,0.0
tes5,41.709699,12.654289,20110103:2000,1,20,0.0,5.8,1.72,2.9096275568008423,2.7908343076705933,0.11879324913024902,0.0,0.0
tes5,41.709699,12.654289,20110103:2100,1,21,0.0,5.22,1.86,2.4344630539417267,2.318573407828808,0.11588964611291885,0.0,0.0
tes5,41.709699,12.654289,20110103:2200,1,22,0.0,4.74,1.93,2.0089109241962433,1.8945707008242607,0.11434022337198257,0.0,0.0
tes5,41.709699,12.654289,20110103:2300,1,23,0.0,4.43,1.86,1.662929430603981,1.547565497457981,0.11536393314599991,0.0,0.0
tes5,41.709699,12.654289,20110104:0000,1,0,0.0,4.15,1.79,1.3450009375810623,1.2285709381103516,0.11642999947071075,0.0,0.0
