location,lat,lon,time_utc,month,hour,ghi_w_m2,ambient_c,wind_m_s,baseline_shell_temp_c,ant_shell_temp_c,temp_drop_c,equiv_heat_reduction_w_m2,equiv_electric_saved_kwh_m2_hour
wien,48.212614,16.412059,20170101:0000,1,0,0.0,-0.44,2.44,-2.7828026190400124,-2.885282840579748,0.1024802215397358,0.0,0.0
wien,48.212614,16.412059,20170101:0100,1,1,0.0,-1.12,2.02,-3.6648566648364067,-3.773668184876442,0.10881152004003525,0.0,0.0
wien,48.212614,16.412059,20170101:0200,1,2,0.0,-1.8,1.6,-4.589366056025028,-4.705325327813625,0.1159592717885971,0.0,0.0
wien,48.212614,16.412059,20170101:0300,1,3,0.0,-2.48,1.18,-5.571300983428955,-5.695316717028618,0.12401573359966278,0.0,0.0
wien,48.212614,16.412059,20170101:0400,1,4,0.0,-3.17,0.75,-6.65417168289423,-6.787408292293549,0.1332366093993187,0.0,0.0
wien,48.212614,16.412059,20170101:0500,1,5,0.0,-3.85,0.33,-7.837632596492767,-7.980623617768288,0.14299102127552032,0.0,0.0
wien,48.212614,16.412059,20170101:0600,1,6,0.0,-4.53,0.0,-9.03302475810051,-9.18362945318222,0.15060469508171082,0.0,0.0
wien,48.212614,16.412059,20170101:0700,1,7,14.0,-5.21,0.0,-8.91017198562622,-9.51605461537838,0.6058826297521591,4.3792,0.0013685
wien,48.212614,16.412059,20170101:0800,1,8,108.0,-4.52,0.41,-3.2851185649633408,-6.379561647772789,3.0944430828094482,33.7824,0.010557
wien,48.212614,16.412059,20170101:0900,1,9,167.0,-2.54,0.69,0.9865348786115646,-3.256266936659813,4.242801815271378,52.2376,0.01632425
wien,48.212614,16.412059,20170101:1000,1,10,173.0,-0.91,0.97,2.489928901195526,-1.530889831483364,4.02081873267889,54.1144,0.01691075
wien,48.212614,16.412059,20170101:1100,1,11,149.0,0.37,1.03,2.748304530978203,-0.6697491928935051,3.418053723871708,46.607200000000006,0.014564750000000001
wien,48.212614,16.412059,20170101:1200,1,12,130.0,1.28,1.17,2.841219939291477,-0.043097659945487976,2.884317599236965,40.664,0.0127075
wien,48.212614,16.412059,20170101:1300,1,13,96.0,1.63,1.45,1.9189583510160446,-0.09765535593032837,2.016613706946373,30.028800000000004,0.009384
wien,48.212614,16.412059,20170101:1400,1,14,44.0,0.85,1.72,-0.5131898820400238,-1.446082517504692,0.9328926354646683,13.763200000000001,0.004301
wien,48.212614,16.412059,20170101:1500,1,15,0.0,-0.88,2.07,-3.4023554623126984,-3.510481845587492,0.10812638327479362,0.0,0.0
wien,48.212614,16.412059,20170101:1600,1,16,0.0,-2.33,1.93,-4.899046756327152,-5.0085848197340965,0.10953806340694427,0.0,0.0
wien,48.212614,16.412059,20170101:1700,1,17,0.0,-3.52,1.72,-6.189415045082569,-6.3019272312521935,0.11251218616962433,0.0,0.0
wien,48.212614,16.412059,20170101:1800,1,18,0.0,-4.21,1.38,-7.09802620112896,-7.216698527336121,0.11867232620716095,0.0,0.0
wien,48.212614,16.412059,20170101:1900,1,19,0.0,-5.48,1.45,-8.28522689640522,-8.401609845459461,0.11638294905424118,0.0,0.0
wien,48.212614,16.412059,20170101:2000,1,20,0.0,-5.55,1.38,-8.404790498316288,-8.522546626627445,0.11775612831115723,0.0,0.0
wien,48.212614,16.412059,20170101:2100,1,21,0.0,-5.34,1.24,-8.30854345113039,-8.429366797208786,0.12082334607839584,0.0,0.0
wien,48.212614,16.412059,20170101:2200,1,22,0.0,-5.07,1.03,-8.224963247776031,-8.350553326308727,0.12559007853269577,0.0,0.0
wien,48.212614,16.412059,20170101:2300,1,23,0.0,-4.56,0.76,-7.994712591171265,-8.12685564160347,0.1321430504322052,0.0,0.0
wien,48.212614,16.412059,20170102:0000,1,0,0.0,-4.78,0.48,-8.536546528339386,-8.675336316227913,0.13878978788852692,0.0,0.0
wien,48.212614,16.412059,20170102:0100,1,1,0.0,-4.68,0.28,-8.715386167168617,-8.859176374971867,0.14379020780324936,0.0,0.0
wien,48.212614,16.412059,20170102:0200,1,2,0.0,-4.83,0.34,-8.773913867771626,-8.916140124201775,0.14222625643014908,0.0,0.0
wien,48.212614,16.412059,20170102:0300,1,3,0.0,-4.9,0.41,-8.745089955627918,-8.88554260134697,0.14045264571905136,0.0,0.0
wien,48.212614,16.412059,20170102:0400,1,4,0.0,-4.81,0.55,-8.47791075706482,-8.614963591098785,0.13705283403396606,0.0,0.0
wien,48.212614,16.412059,20170102:0500,1,5,0.0,-4.65,0.69,-8.15872497856617,-8.292480036616325,0.13375505805015564,0.0,0.0
wien,48.212614,16.412059,20170102:0600,1,6,0.0,-4.38,0.9,-7.6761394739151,-7.80512947589159,0.12899000197649002,0.0,0.0
wien,48.212614,16.412059,20170102:0700,1,7,13.0,-5.3,1.24,-7.790557369589806,-8.189548924565315,0.39899155497550964,4.066400000000001,0.00127075
wien,48.212614,16.412059,20170102:0800,1,8,104.0,-3.69,1.59,-2.9718076065182686,-5.096309147775173,2.1245015412569046,32.531200000000005,0.010166
wien,48.212614,16.412059,20170102:0900,1,9,163.0,0.36,2.62,2.376825176179409,-0.20710401237010956,2.5839291885495186,50.9864,0.01593325
wien,48.212614,16.412059,20170102:1000,1,10,186.0,2.66,3.45,4.857955686748028,2.338826432824135,2.519129253923893,58.180800000000005,0.0181815
wien,48.212614,16.412059,20170102:1100,1,11,234.0,4.09,4.48,6.85646940022707,4.176869224756956,2.6796001754701138,73.1952,0.0228735
wien,48.212614,16.412059,20170102:1200,1,12,229.0,4.49,4.83,7.026305869221687,4.526492711156607,2.4998131580650806,71.6312,0.022384750000000002
wien,48.212614,16.412059,20170102:1300,1,13,175.0,4.27,4.9,5.810125637799501,3.8968244194984436,1.9133012183010578,54.74,0.01710625
wien,48.212614,16.412059,20170102:1400,1,14,75.0,3.47,4.9,3.2101851142942905,2.343970015645027,0.8662150986492634,23.46,0.00733125
wien,48.212614,16.412059,20170102:1500,1,15,0.0,2.07,4.62,0.40353573858737946,0.3250839188694954,0.07845181971788406,0.0,0.0
wien,48.212614,16.412059,20170102:1600,1,16,0.0,1.26,4.55,-0.4099380224943161,-0.4885224997997284,0.07858447730541229,0.0,0.0
wien,48.212614,16.412059,20170102:1700,1,17,0.0,0.93,4.69,-0.7023968175053596,-0.7795184850692749,0.07712166756391525,0.0,0.0
wien,48.212614,16.412059,20170102:1800,1,18,0.0,0.77,4.83,-0.8288841508328915,-0.904688686132431,0.07580453529953957,0.0,0.0
wien,48.212614,16.412059,20170102:1900,1,19,0.0,0.32,4.69,-1.3028319366276264,-1.379577424377203,0.07674548774957657,0.0,0.0
wien,48.212614,16.412059,20170102:2000,1,20,0.0,0.06,4.55,-1.5908077545464039,-1.6686459630727768,0.07783820852637291,0.0,0.0
wien,48.212614,16.412059,20170102:2100,1,21,0.0,-0.39,4.34,-2.083999663591385,-2.163509838283062,0.0795101746916771,0.0,0.0
wien,48.212614,16.412059,20170102:2200,1,22,0.0,-0.53,4.07,-2.2910916805267334,-2.3731644824147224,0.08207280188798904,0.0,0.0
wien,48.212614,16.412059,20170102:2300,1,23,0.0,-0.72,3.93,-2.5161026418209076,-2.5994950346648693,0.08339239284396172,0.0,0.0
wien,48.212614,16.412059,20170103:0000,1,0,0.0,-0.89,3.93,-2.683196384459734,-2.766479142010212,0.08328275755047798,0.0,0.0
wien,48.212614,16.412059,20170103:0100,1,1,0.0,-0.92,4.0,-2.693406045436859,-2.7759434282779694,0.08253738284111023,0.0,0.0
wien,48.212614,16.412059,20170103:0200,1,2,0.0,-0.68,4.21,-2.4019478261470795,-2.48253021389246,0.0805823877453804,0.0,0.0
wien,48.212614,16.412059,20170103:0300,1,3,0.0,-0.6,4.34,-2.290583625435829,-2.369961589574814,0.07937796413898468,0.0,0.0
wien,48.212614,16.412059,20170103:0400,1,4,0.0,-0.83,4.34,-2.516845725476742,-2.5960789620876312,0.07923323661088943,0.0,0.0
wien,48.212614,16.412059,20170103:0500,1,5,0.0,-1.22,4.28,-2.9153720289468765,-2.9949329420924187,0.07956091314554214,0.0,0.0
wien,48.212614,16.412059,20170103:0600,1,6,0.0,-1.46,4.0,-3.2242705300450325,-3.306461125612259,0.08219059556722641,0.0,0.0
wien,48.212614,16.412059,20170103:0700,1,7,13.0,-1.21,3.79,-2.756729479879141,-3.0037420988082886,0.24701261892914772,4.066400000000001,0.00127075
wien,48.212614,16.412059,20170103:0800,1,8,139.0,-0.21,4.14,0.8746184781193733,-0.8440094068646431,1.7186278849840164,43.479200000000006,0.01358725
wien,48.212614,16.412059,20170103:0900,1,9,208.0,0.98,5.1,3.129989802837372,0.9222989901900291,2.2076908126473427,65.06240000000001,0.020332
wien,48.212614,16.412059,20170103:1000,1,10,301.0,1.81,6.28,5.08483374491334,2.3507617600262165,2.734071984887123,94.15280000000001,0.029422750000000004
wien,48.212614,16.412059,20170103:1100,1,11,238.0,2.6,6.55,4.827248193323612,2.7156723849475384,2.111575808376074,74.44640000000001,0.0232645
wien,48.212614,16.412059,20170103:1200,1,12,275.0,3.01,6.41,5.822768174111843,3.35736982524395,2.465398348867893,86.02000000000001,0.026881250000000002
wien,48.212614,16.412059,20170103:1300,1,13,196.0,3.04,6.14,4.710001349449158,2.877255417406559,1.8327459320425987,61.308800000000005,0.019159
wien,48.212614,16.412059,20170103:1400,1,14,83.0,2.47,5.72,2.383007053285837,1.5255425497889519,0.8574645034968853,25.962400000000002,0.00811325
wien,48.212614,16.412059,20170103:1500,1,15,0.0,1.35,5.45,-0.133051797747612,-0.2042221464216709,0.07117034867405891,0.0,0.0
wien,48.212614,16.412059,20170103:1600,1,16,0.0,0.47,5.38,-1.013373974710703,-1.0845555551350117,0.07118158042430878,0.0,0.0
wien,48.212614,16.412059,20170103:1700,1,17,0.0,0.07,5.31,-1.420781183987856,-1.492262277752161,0.07148109376430511,0.0,0.0
wien,48.212614,16.412059,20170103:1800,1,18,0.0,-0.04,5.24,-1.5426059439778328,-1.614565085619688,0.07195914164185524,0.0,0.0
