location,lat,lon,time_utc,month,hour,ghi_w_m2,ambient_c,wind_m_s,baseline_roof_temp_c,ant_roof_temp_c,temp_drop_c,cooling_saved_w_m2,electric_saved_kwh_m2_hour
cairo,30.035811,31.201172,20060101:0000,1,0,0.0,11.28,2.63,8.677631001919508,8.567027356475592,0.11060364544391632,0.0,0.0
cairo,30.035811,31.201172,20060101:0100,1,1,0.0,11.0,2.63,8.403737023472786,8.293317286297679,0.110419737175107,0.0,0.0
cairo,30.035811,31.201172,20060101:0200,1,2,0.0,10.71,2.62,8.115183971822262,8.004808891564608,0.11037508025765419,0.0,0.0
cairo,30.035811,31.201172,20060101:0300,1,3,0.0,10.43,2.61,7.83640680834651,7.726069670170546,0.11033713817596436,0.0,0.0
cairo,30.035811,31.201172,20060101:0400,1,4,0.0,10.14,2.6,7.547841891646385,7.437549149617553,0.11029274202883244,0.0,0.0
cairo,30.035811,31.201172,20060101:0500,1,5,19.0,9.86,2.59,8.074028678238392,7.486446779221296,0.5875818990170956,0.0,0.0
cairo,30.035811,31.201172,20060101:0600,1,6,60.0,9.57,2.59,9.523837603628635,7.909825127571821,1.6140124760568142,0.0,0.0
cairo,30.035811,31.201172,20060101:0700,1,7,220.0,9.29,2.58,15.961667485535145,10.386317186057568,5.575350299477577,0.0,0.0
cairo,30.035811,31.201172,20060101:0800,1,8,344.0,16.71,3.59,26.330711720511317,19.19333018362522,7.137381536886096,2.7968540646135804,0.0008740168951917439
cairo,30.035811,31.201172,20060101:0900,1,9,475.0,18.95,3.86,32.36599313095212,23.037546407431364,9.328446723520756,10.039191757142543,0.0031372474241070443
cairo,30.035811,31.201172,20060101:1000,1,10,495.0,20.7,3.79,34.815494287759066,25.041991509497166,9.7735027782619,11.72820333391428,0.0036650635418482127
cairo,30.035811,31.201172,20060101:1100,1,11,446.0,21.8,3.66,34.500524029135704,25.51177308894694,8.988750940188766,10.786501128226519,0.003370781602570787
cairo,30.035811,31.201172,20060101:1200,1,12,328.0,22.43,3.59,31.253023706376553,24.51224253512919,6.740781171247363,8.088937405496836,0.0025277929392177613
cairo,30.035811,31.201172,20060101:1300,1,13,211.0,22.41,3.59,27.253807820379734,22.85334692336619,4.400460897013545,3.9045693844556806,0.0012201779326424
cairo,30.035811,31.201172,20060101:1400,1,14,43.0,21.77,3.31,20.809805765748024,19.776801951229572,1.0330038145184517,0.0,0.0
cairo,30.035811,31.201172,20060101:1500,1,15,0.0,20.12,3.1,17.544939052313566,17.435116413980722,0.10982263833284378,0.0,0.0
cairo,30.035811,31.201172,20060101:1600,1,16,0.0,18.68,3.1,16.1351072601974,16.026204945519567,0.10890231467783451,0.0,0.0
cairo,30.035811,31.201172,20060101:1700,1,17,0.0,17.47,3.1,14.9503730610013,14.842248037457466,0.10812502354383469,0.0,0.0
cairo,30.035811,31.201172,20060101:1800,1,18,0.0,16.24,3.03,13.715867521241307,13.607609504833817,0.10825801640748978,0.0,0.0
cairo,30.035811,31.201172,20060101:1900,1,19,0.0,14.82,3.03,12.325584702193737,12.218247205018997,0.10733749717473984,0.0,0.0
cairo,30.035811,31.201172,20060101:2000,1,20,0.0,13.61,2.9,11.083844676613808,10.975536070764065,0.10830860584974289,0.0,0.0
