location,lat,lon,time_utc,month,hour,ghi_w_m2,ambient_c,wind_m_s,baseline_roof_temp_c,ant_roof_temp_c,temp_drop_c,cooling_saved_w_m2,electric_saved_kwh_m2_hour
Roma,41.87151,12.478619,20190101:0000,1,0,0.0,6.56,3.95,4.5601775497198105,4.469314217567444,0.09086333215236664,0.0,0.0
Roma,41.87151,12.478619,20190101:0100,1,1,0.0,6.28,3.99,4.297281559556723,4.207029277458787,0.09025228209793568,0.0,0.0
Roma,41.87151,12.478619,20190101:0200,1,2,0.0,5.99,4.04,4.027307741343975,3.9377744030207396,0.08953333832323551,0.0,0.0
Roma,41.87151,12.478619,20190101:0300,1,3,0.0,5.71,4.09,3.7668680120259523,3.6780405789613724,0.08882743306457996,0.0,0.0
Roma,41.87151,12.478619,20190101:0400,1,4,0.0,5.42,4.14,3.496325518935919,3.408203925937414,0.08812159299850464,0.0,0.0
Roma,41.87151,12.478619,20190101:0500,1,5,0.0,5.14,4.19,3.2353311963379383,3.1479024700820446,0.08742872625589371,0.0,0.0
Roma,41.87151,12.478619,20190101:0600,1,6,0.0,4.86,4.23,2.9713198263198137,2.8844768553972244,0.0868429709225893,0.0,0.0
Roma,41.87151,12.478619,20190101:0700,1,7,44.0,4.57,4.28,4.1230349615216255,3.1950570456683636,0.927977915853262,0.0,0.0
Roma,41.87151,12.478619,20190101:0800,1,8,190.0,5.81,3.79,10.3410773165524,6.3701495341956615,3.970927782356739,0.0,0.0
Roma,41.87151,12.478619,20190101:0900,1,9,315.0,7.32,3.31,16.752303736284375,9.777716547250748,6.9745871890336275,0.0,0.0
Roma,41.87151,12.478619,20190101:1000,1,10,399.0,8.67,3.52,20.685709798708558,12.228310136124492,8.457399662584066,0.0,0.0
Roma,41.87151,12.478619,20190101:1100,1,11,429.0,9.65,3.24,23.260498512536287,13.794072279706597,9.46642623282969,0.0,0.0
Roma,41.87151,12.478619,20190101:1200,1,12,408.0,10.27,2.83,23.998388424515724,14.349279217422009,9.649109207093716,0.0,0.0
Roma,41.87151,12.478619,20190101:1300,1,13,324.0,10.52,2.55,21.487380675971508,13.366398587822914,8.120982088148594,0.0,0.0
Roma,41.87151,12.478619,20190101:1400,1,14,208.0,10.53,2.28,17.0100206322968,11.431886609643698,5.578134022653103,0.0,0.0
Roma,41.87151,12.478619,20190101:1500,1,15,52.0,9.93,1.93,9.48061779141426,7.868890315294266,1.6117274761199951,0.0,0.0
Roma,41.87151,12.478619,20190101:1600,1,16,0.0,8.73,2.21,5.963854249566793,5.848494414240122,0.1153598353266716,0.0,0.0
Roma,41.87151,12.478619,20190101:1700,1,17,0.0,7.66,2.34,4.9897682294249535,4.87717536278069,0.11259286664426327,0.0,0.0
Roma,41.87151,12.478619,20190101:1800,1,18,0.0,6.59,2.14,3.833156479522586,3.718071561306715,0.11508491821587086,0.0,0.0
Roma,41.87151,12.478619,20190101:1900,1,19,0.0,5.66,2.07,2.8838894702494144,2.7682633884251118,0.11562608182430267,0.0,0.0
Roma,41.87151,12.478619,20190101:2000,1,20,0.0,5.44,1.52,2.301328834146261,2.1760753728449345,0.12525346130132675,0.0,0.0
Roma,41.87151,12.478619,20190101:2100,1,21,0.0,5.15,1.38,1.909035351127386,1.7812873609364033,0.12774799019098282,0.0,0.0
Roma,41.87151,12.478619,20190101:2200,1,22,0.0,4.16,1.52,1.0537093505263329,0.9292739257216454,0.1244354248046875,0.0,0.0
Roma,41.87151,12.478619,20190101:2300,1,23,0.0,3.15,1.59,0.12073129415512085,-0.0017317943274974823,0.12246308848261833,0.0,0.0
Roma,41.87151,12.478619,20190102:0000,1,0,0.0,2.52,1.59,-0.493557658046484,-0.6156092509627342,0.12205159291625023,0.0,0.0
Roma,41.87151,12.478619,20190102:0100,1,1,0.0,2.34,1.52,-0.7203655131161213,-0.8436242118477821,0.12325869873166084,0.0,0.0
Roma,41.87151,12.478619,20190102:0200,1,2,0.0,2.24,1.59,-0.7665806636214256,-0.8884488046169281,0.12186814099550247,0.0,0.0
Roma,41.87151,12.478619,20190102:0300,1,3,0.0,1.91,1.72,-0.9977626800537109,-1.1170053854584694,0.11924270540475845,0.0,0.0
Roma,41.87151,12.478619,20190102:0400,1,4,0.0,1.46,1.93,-1.3018611632287502,-1.4170616678893566,0.11520050466060638,0.0,0.0
Roma,41.87151,12.478619,20190102:0500,1,5,0.0,1.47,2.07,-1.2089339643716812,-1.321749985218048,0.11281602084636688,0.0,0.0
Roma,41.87151,12.478619,20190102:0600,1,6,0.0,1.85,2.21,-0.7592384144663811,-0.8700023032724857,0.11076388880610466,0.0,0.0
Roma,41.87151,12.478619,20190102:0700,1,7,29.0,2.74,2.07,1.4197002351284027,0.48296069726347923,0.9367395378649235,0.0,0.0
Roma,41.87151,12.478619,20190102:0800,1,8,107.0,4.7,2.0,7.052044756710529,3.888750299811363,3.163294456899166,0.0,0.0
Roma,41.87151,12.478619,20190102:0900,1,9,323.0,7.72,2.0,20.05622673779726,10.987180639058352,9.069046098738909,0.0,0.0
Roma,41.87151,12.478619,20190102:1000,1,10,396.0,8.49,2.62,22.362232506275177,12.5930380448699,9.769194461405277,0.0,0.0
Roma,41.87151,12.478619,20190102:1100,1,11,311.0,9.78,4.07,17.947520902380347,11.8455212097615,6.101999692618847,0.0,0.0
Roma,41.87151,12.478619,20190102:1200,1,12,412.0,10.33,5.38,19.92667643353343,13.187032416462898,6.739644017070532,0.0,0.0
Roma,41.87151,12.478619,20190102:1300,1,13,330.0,11.06,6.34,17.633440848439932,12.779041081666946,4.8543997667729855,0.0,0.0
Roma,41.87151,12.478619,20190102:1400,1,14,207.0,11.24,6.83,14.61804165970534,11.694276868365705,2.923764791339636,0.0,0.0
Roma,41.87151,12.478619,20190102:1500,1,15,60.0,10.39,6.62,10.350763304159045,9.430257761850953,0.9205055423080921,0.0,0.0
Roma,41.87151,12.478619,20190102:1600,1,16,0.0,8.72,6.48,7.24398703314364,7.173088081181049,0.07089895196259022,0.0,0.0
Roma,41.87151,12.478619,20190102:1700,1,17,0.0,7.37,6.62,5.9348091296851635,5.865581063553691,0.06922806613147259,0.0,0.0
Roma,41.87151,12.478619,20190102:1800,1,18,0.0,6.42,6.55,4.987024012953043,4.917888650670648,0.06913536228239536,0.0,0.0
