location,lat,lon,time_utc,month,hour,ghi_w_m2,ambient_c,wind_m_s,baseline_roof_temp_c,ant_roof_temp_c,temp_drop_c,cooling_saved_w_m2,electric_saved_kwh_m2_hour
tes5,41.709699,12.654289,20110101:0000,1,0,0.0,5.11,1.99,2.2987760230898857,2.182166837155819,0.11660918593406677,0.0,0.0
tes5,41.709699,12.654289,20110101:0100,1,1,0.0,4.87,1.97,2.052202168852091,1.9354109652340412,0.11679120361804962,0.0,0.0
tes5,41.709699,12.654289,20110101:0200,1,2,0.0,4.62,1.95,1.795788798481226,1.6788205318152905,0.11696826666593552,0.0,0.0
tes5,41.709699,12.654289,20110101:0300,1,3,0.0,4.37,1.92,1.5330551378428936,1.4157350920140743,0.11732004582881927,0.0,0.0
tes5,41.709699,12.654289,20110101:0400,1,4,0.0,4.12,1.9,1.2764417566359043,1.158940214663744,0.11750154197216034,0.0,0.0
tes5,41.709699,12.654289,20110101:0500,1,5,0.0,3.88,1.88,1.029510386288166,0.9118190035223961,0.11769138276576996,0.0,0.0
tes5,41.709699,12.654289,20110101:0600,1,6,0.0,3.63,1.85,0.7663220725953579,0.648269522935152,0.11805254966020584,0.0,0.0
tes5,41.709699,12.654289,20110101:0700,1,7,37.0,3.38,1.83,2.3725176975131035,1.1492583341896534,1.22325936332345,0.0,0.0
tes5,41.709699,12.654289,20110101:0800,1,8,127.0,4.87,1.31,8.737500477582216,4.371809717267752,4.365690760314465,0.0,0.0
tes5,41.709699,12.654289,20110101:0900,1,9,197.0,7.99,0.97,16.230709310621023,9.051026720553637,7.179682590067387,0.0,0.0
tes5,41.709699,12.654289,20110101:1000,1,10,235.0,9.6,0.62,21.00691109895706,11.71196162700653,9.294949471950531,0.0,0.0
tes5,41.709699,12.654289,20110101:1100,1,11,269.0,10.41,0.14,26.027579456567764,13.866413030773401,12.161166425794363,2.433095347881317,0.0007603422962129115
tes5,41.709699,12.654289,20110101:1200,1,12,199.0,10.66,0.21,20.868312194943428,11.898158416152,8.970153778791428,0.0,0.0
tes5,41.709699,12.654289,20110101:1300,1,13,154.0,10.76,0.41,17.235237136483192,10.626614689826965,6.608622446656227,0.0,0.0
tes5,41.709699,12.654289,20110101:1400,1,14,142.0,10.86,0.55,16.259378269314766,10.397106297314167,5.862271972000599,0.0,0.0
tes5,41.709699,12.654289,20110101:1500,1,15,29.0,10.41,0.76,8.305899258702993,7.042926922440529,1.2629723362624645,0.0,0.0
tes5,41.709699,12.654289,20110101:1600,1,16,0.0,9.33,0.9,5.529686529189348,5.38995549082756,0.1397310383617878,0.0,0.0
tes5,41.709699,12.654289,20110101:1700,1,17,0.0,8.07,1.03,4.437987096607685,4.30156197398901,0.13642512261867523,0.0,0.0
tes5,41.709699,12.654289,20110101:1800,1,18,0.0,7.03,1.24,3.621625918895006,3.4899880178272724,0.13163790106773376,0.0,0.0
tes5,41.709699,12.654289,20110101:1900,1,19,0.0,5.68,1.38,2.4253184720873833,2.2972396947443485,0.12807877734303474,0.0,0.0
tes5,41.709699,12.654289,20110101:2000,1,20,0.0,5.15,1.52,2.018670756369829,1.8936019204556942,0.12506883591413498,0.0,0.0
tes5,41.709699,12.654289,20110101:2100,1,21,0.0,4.44,1.66,1.4286747761070728,1.3066699914634228,0.12200478464365005,0.0,0.0
tes5,41.709699,12.654289,20110101:2200,1,22,0.0,3.98,1.66,0.9800491668283939,0.858343942090869,0.12170522473752499,0.0,0.0
tes5,41.709699,12.654289,20110101:2300,1,23,0.0,3.7,1.66,0.7069680094718933,0.5854456499218941,0.12152235954999924,0.0,0.0
tes5,41.709699,12.654289,20110102:0000,1,0,0.0,3.58,1.72,0.6314401887357235,0.5110937729477882,0.12034641578793526,0.0,0.0
tes5,41.709699,12.654289,20110102:0100,1,1,0.0,3.62,1.72,0.6704613380134106,0.5500887148082256,0.12037262320518494,0.0,0.0
tes5,41.709699,12.654289,20110102:0200,1,2,0.0,3.68,1.66,0.6874621286988258,0.5659528076648712,0.12150932103395462,0.0,0.0
tes5,41.709699,12.654289,20110102:0300,1,3,0.0,3.46,1.66,0.4728956799954176,0.35153036937117577,0.12136531062424183,0.0,0.0
tes5,41.709699,12.654289,20110102:0400,1,4,0.0,3.49,1.66,0.5021548271179199,0.38076989352703094,0.12138493359088898,0.0,0.0
tes5,41.709699,12.654289,20110102:0500,1,5,0.0,3.46,1.59,0.42299408465623856,0.30032915994524956,0.122664924710989,0.0,0.0
tes5,41.709699,12.654289,20110102:0600,1,6,0.0,3.43,1.52,0.3421465493738651,0.2181812934577465,0.12396525591611862,0.0,0.0
tes5,41.709699,12.654289,20110102:0700,1,7,50.0,3.94,1.31,3.518593478947878,1.7016556672751904,1.8169378116726875,0.0,0.0
tes5,41.709699,12.654289,20110102:0800,1,8,190.0,4.83,0.97,12.864007353782654,5.859372969716787,7.0046343840658665,0.0,0.0
tes5,41.709699,12.654289,20110102:0900,1,9,207.0,7.69,0.76,17.06484889611602,9.089158773422241,7.975690122693777,0.0,0.0
tes5,41.709699,12.654289,20110102:1000,1,10,305.0,9.02,0.48,25.59030583128333,13.20963729172945,12.38066853955388,1.908366997539997,0.0005963646867312491
tes5,41.709699,12.654289,20110102:1100,1,11,376.0,9.8,0.21,32.64137011021376,16.4341445825994,16.207225527614355,10.369644132256507,0.003240513791330158
