location,lat,lon,time_utc,month,hour,ghi_w_m2,ambient_c,wind_m_s,baseline_roof_temp_c,ant_roof_temp_c,temp_drop_c,cooling_saved_w_m2,electric_saved_kwh_m2_hour
Toulouse,43.601552,1.428401,20170101:0000,1,0,0.0,5.55,2.43,2.9737902991473675,2.863998170942068,0.10979212820529938,0.0,0.0
Toulouse,43.601552,1.428401,20170101:0100,1,1,0.0,4.62,2.01,1.832413338124752,1.7164692468941212,0.11594409123063087,0.0,0.0
Toulouse,43.601552,1.428401,20170101:0200,1,2,0.0,3.69,1.58,0.6399759836494923,0.5169744044542313,0.123001579195261,0.0,0.0
Toulouse,43.601552,1.428401,20170101:0300,1,3,0.0,2.76,1.15,-0.6148235499858856,-0.7456762716174126,0.13085272163152695,0.0,0.0
Toulouse,43.601552,1.428401,20170101:0400,1,4,0.0,1.83,0.73,-1.9457794912159443,-2.0849893800914288,0.13920988887548447,0.0,0.0
Toulouse,43.601552,1.428401,20170101:0500,1,5,0.0,0.9,0.3,-3.4133097156882286,-3.561435602605343,0.14812588691711426,0.0,0.0
Toulouse,43.601552,1.428401,20170101:0600,1,6,0.0,-0.03,0.0,-4.820681530982256,-4.9745504930615425,0.15386896207928658,0.0,0.0
Toulouse,43.601552,1.428401,20170101:0700,1,7,0.0,-0.95,0.0,-5.7111443765461445,-5.864707585424185,0.1535632088780403,0.0,0.0
Toulouse,43.601552,1.428401,20170101:0800,1,8,37.0,0.81,0.28,-0.6270290352404118,-2.503071613609791,1.876042578369379,0.0,0.0
Toulouse,43.601552,1.428401,20170101:0900,1,9,91.0,1.79,0.28,4.471033737063408,0.14101766049861908,4.330016076564789,0.0,0.0
Toulouse,43.601552,1.428401,20170101:1000,1,10,105.0,2.94,0.21,6.704005040228367,1.6473647207021713,5.0566403195261955,0.0,0.0
Toulouse,43.601552,1.428401,20170101:1100,1,11,129.0,4.4,0.0,10.334961861371994,3.753705434501171,6.581256426870823,0.0,0.0
Toulouse,43.601552,1.428401,20170101:1200,1,12,130.0,5.79,0.28,11.14761644974351,5.168530456721783,5.979085993021727,0.0,0.0
Toulouse,43.601552,1.428401,20170101:1300,1,13,111.0,7.05,0.62,10.51968464627862,5.915726218372583,4.603958427906036,0.0,0.0
Toulouse,43.601552,1.428401,20170101:1400,1,14,83.0,7.8,1.03,9.183438066393137,6.077148262411356,3.106289803981781,0.0,0.0
Toulouse,43.601552,1.428401,20170101:1500,1,15,65.0,7.79,1.17,8.083948772400618,5.70441072806716,2.379538044333458,0.0,0.0
Toulouse,43.601552,1.428401,20170101:1600,1,16,1.0,6.9,1.52,3.7780798971652985,3.619954902678728,0.15812499448657036,0.0,0.0
Toulouse,43.601552,1.428401,20170101:1700,1,17,0.0,5.07,2.07,2.307629305869341,2.1923952922225,0.11523401364684105,0.0,0.0
Toulouse,43.601552,1.428401,20170101:1800,1,18,0.0,3.62,1.93,0.8070832118391991,0.690434779971838,0.11664843186736107,0.0,0.0
Toulouse,43.601552,1.428401,20170101:1900,1,19,0.0,2.2,1.66,-0.7560272887349129,-0.8765643276274204,0.12053703889250755,0.0,0.0
Toulouse,43.601552,1.428401,20170101:2000,1,20,0.0,1.48,1.31,-1.7229607701301575,-1.8497692048549652,0.12680843472480774,0.0,0.0
Toulouse,43.601552,1.428401,20170101:2100,1,21,0.0,1.05,0.9,-2.5192226842045784,-2.654301580041647,0.13507889583706856,0.0,0.0
Toulouse,43.601552,1.428401,20170101:2200,1,22,0.0,0.86,0.69,-2.934130821377039,-3.073680754750967,0.13954993337392807,0.0,0.0
Toulouse,43.601552,1.428401,20170101:2300,1,23,0.0,0.3,0.62,-3.561340421438217,-3.702133186161518,0.14079276472330093,0.0,0.0
Toulouse,43.601552,1.428401,20170102:0000,1,0,0.0,0.06,0.48,-3.9725061133503914,-4.116288609802723,0.14378249645233154,0.0,0.0
Toulouse,43.601552,1.428401,20170102:0100,1,1,0.0,0.29,0.55,-3.6581802181899548,-3.800523914396763,0.1423436962068081,0.0,0.0
Toulouse,43.601552,1.428401,20170102:0200,1,2,0.0,0.42,0.55,-3.5320136696100235,-3.674425296485424,0.14241162687540054,0.0,0.0
