location,lat,lon,time_utc,month,hour,ghi_w_m2,ambient_c,wind_m_s,baseline_roof_temp_c,ant_roof_temp_c,temp_drop_c,cooling_saved_w_m2,electric_saved_kwh_m2_hour
wien,48.212614,16.412059,20170101:0000,1,0,0.0,-0.44,2.44,-2.879945747554302,-2.985519655048847,0.10557390749454498,0.0,0.0
wien,48.212614,16.412059,20170101:0100,1,1,0.0,-1.12,2.02,-3.7680063769221306,-3.879903247579932,0.11189687065780163,0.0,0.0
wien,48.212614,16.412059,20170101:0200,1,2,0.0,-1.8,1.6,-4.699297901242971,-4.818290267139673,0.11899236589670181,0.0,0.0
wien,48.212614,16.412059,20170101:0300,1,3,0.0,-2.48,1.18,-5.688878893852234,-5.815804805606604,0.12692591175436974,0.0,0.0
wien,48.212614,16.412059,20170101:0400,1,4,0.0,-3.17,0.75,-6.780503485351801,-6.9164058938622475,0.13590240851044655,0.0,0.0
wien,48.212614,16.412059,20170101:0500,1,5,0.0,-3.85,0.33,-7.973228991031647,-8.118455894291401,0.14522690325975418,0.0,0.0
wien,48.212614,16.412059,20170101:0600,1,6,0.0,-4.53,0.0,-9.17585777118802,-9.328153505921364,0.15229573473334312,0.0,0.0
wien,48.212614,16.412059,20170101:0700,1,7,14.0,-5.21,0.0,-8.575134743005037,-9.477565512061119,0.9024307690560818,0.0,0.0
wien,48.212614,16.412059,20170101:0800,1,8,108.0,-4.52,0.41,-0.3282827325165272,-5.313911121338606,4.985628388822079,0.0,0.0
wien,48.212614,16.412059,20170101:0900,1,9,167.0,-2.54,0.69,5.156758241355419,-1.7059561982750893,6.862714439630508,0.0,0.0
wien,48.212614,16.412059,20170101:1000,1,10,173.0,-0.91,0.97,6.460869051516056,-0.05731955170631409,6.51818860322237,0.0,0.0
wien,48.212614,16.412059,20170101:1100,1,11,149.0,0.37,1.03,6.0958231985569,0.5568099394440651,5.539013259112835,0.0,0.0
wien,48.212614,16.412059,20170101:1200,1,12,130.0,1.28,1.17,5.641552433371544,0.9691086784005165,4.672443754971027,0.0,0.0
wien,48.212614,16.412059,20170101:1300,1,13,96.0,1.63,1.45,3.8248276710510254,0.5675389431416988,3.2572887279093266,0.0,0.0
wien,48.212614,16.412059,20170101:1400,1,14,44.0,0.85,1.72,0.2547079138457775,-1.2197687104344368,1.4744766242802143,0.0,0.0
wien,48.212614,16.412059,20170101:1500,1,15,0.0,-0.88,2.07,-3.504855092614889,-3.6160694621503353,0.11121436953544617,0.0,0.0
wien,48.212614,16.412059,20170101:1600,1,16,0.0,-2.33,1.93,-5.0028857961297035,-5.115505587309599,0.1126197911798954,0.0,0.0
wien,48.212614,16.412059,20170101:1700,1,17,0.0,-3.52,1.72,-6.296075936406851,-6.4116514287889,0.11557549238204956,0.0,0.0
wien,48.212614,16.412059,20170101:1800,1,18,0.0,-4.21,1.38,-7.210532650351524,-7.332203648984432,0.12167099863290787,0.0,0.0
wien,48.212614,16.412059,20170101:1900,1,19,0.0,-5.48,1.45,-8.39556086808443,-8.5149703361094,0.1194094680249691,0.0,0.0
wien,48.212614,16.412059,20170101:2000,1,20,0.0,-5.55,1.38,-8.516427651047707,-8.637193776667118,0.12076612561941147,0.0,0.0
wien,48.212614,16.412059,20170101:2100,1,21,0.0,-5.34,1.24,-8.423091433942318,-8.546880800276995,0.12378936633467674,0.0,0.0
wien,48.212614,16.412059,20170101:2200,1,22,0.0,-5.07,1.03,-8.344035521149635,-8.472501281648874,0.12846576049923897,0.0,0.0
wien,48.212614,16.412059,20170101:2300,1,23,0.0,-4.56,0.76,-8.120005913078785,-8.254849724471569,0.13484381139278412,0.0,0.0
wien,48.212614,16.412059,20170102:0000,1,0,0.0,-4.78,0.48,-8.668151907622814,-8.809389024972916,0.14123711735010147,0.0,0.0
wien,48.212614,16.412059,20170102:0100,1,1,0.0,-4.68,0.28,-8.851741906255484,-8.997721262276173,0.145979356020689,0.0,0.0
wien,48.212614,16.412059,20170102:0200,1,2,0.0,-4.83,0.34,-8.908783718943596,-9.053287506103516,0.14450378715991974,0.0,0.0
wien,48.212614,16.412059,20170102:0300,1,3,0.0,-4.9,0.41,-8.878274895250797,-9.02109632268548,0.14282142743468285,0.0,0.0
wien,48.212614,16.412059,20170102:0400,1,4,0.0,-4.81,0.55,-8.607866503298283,-8.747441340237856,0.1395748369395733,0.0,0.0
wien,48.212614,16.412059,20170102:0500,1,5,0.0,-4.65,0.69,-8.285548910498619,-8.421951085329056,0.1364021748304367,0.0,0.0
wien,48.212614,16.412059,20170102:0600,1,6,0.0,-4.38,0.9,-7.798439338803291,-7.930222488939762,0.1317831501364708,0.0,0.0
wien,48.212614,16.412059,20170102:0700,1,7,13.0,-5.3,1.24,-7.606922574341297,-8.192258588969707,0.5853360146284103,0.0,0.0
wien,48.212614,16.412059,20170102:0800,1,8,104.0,-3.69,1.59,-0.9313157945871353,-4.374317843466997,3.443002048879862,0.0,0.0
wien,48.212614,16.412059,20170102:0900,1,9,163.0,0.36,2.62,4.955610251054168,0.7349199149757624,4.220690336078405,0.0,0.0
wien,48.212614,16.412059,20170102:1000,1,10,186.0,2.66,3.45,7.398816803470254,3.2720156479626894,4.1268011555075645,0.0,0.0
wien,48.212614,16.412059,20170102:1100,1,11,234.0,4.09,4.48,9.603359056636691,5.197266172617674,4.406092884019017,0.0,0.0
wien,48.212614,16.412059,20170102:1200,1,12,229.0,4.49,4.83,9.588218796998262,5.476315515115857,4.111903281882405,0.0,0.0
wien,48.212614,16.412059,20170102:1300,1,13,175.0,4.27,4.9,7.738114781677723,4.599200589582324,3.138914192095399,0.0,0.0
wien,48.212614,16.412059,20170102:1400,1,14,75.0,3.47,4.9,3.9997031819075346,2.6030137576162815,1.396689424291253,0.0,0.0
wien,48.212614,16.412059,20170102:1500,1,15,0.0,2.07,4.62,0.32918183133006096,0.2478718850761652,0.08130994625389576,0.0,0.0
wien,48.212614,16.412059,20170102:1600,1,16,0.0,1.26,4.55,-0.48441778868436813,-0.5658625531941652,0.0814447645097971,0.0,0.0
wien,48.212614,16.412059,20170102:1700,1,17,0.0,0.93,4.69,-0.7754894904792309,-0.8554451260715723,0.07995563559234142,0.0,0.0
wien,48.212614,16.412059,20170102:1800,1,18,0.0,0.77,4.83,-0.9007278922945261,-0.9793418645858765,0.07861397229135036,0.0,0.0
wien,48.212614,16.412059,20170102:1900,1,19,0.0,0.32,4.69,-1.3755679596215487,-1.4551403932273388,0.07957243360579014,0.0,0.0
wien,48.212614,16.412059,20170102:2000,1,20,0.0,0.06,4.55,-1.664579901844263,-1.7452649120241404,0.08068501017987728,0.0,0.0
wien,48.212614,16.412059,20170102:2100,1,21,0.0,-0.39,4.34,-2.1593572292476892,-2.241743179038167,0.08238594979047775,0.0,0.0
wien,48.212614,16.412059,20170102:2200,1,22,0.0,-0.53,4.07,-2.368879336863756,-2.453869143500924,0.08498980663716793,0.0,0.0
wien,48.212614,16.412059,20170102:2300,1,23,0.0,-0.72,3.93,-2.5951415952295065,-2.6814707182347775,0.08632912300527096,0.0,0.0
wien,48.212614,16.412059,20170103:0000,1,0,0.0,-0.89,3.93,-2.7621314115822315,-2.8483492508530617,0.08621783927083015,0.0,0.0
wien,48.212614,16.412059,20170103:0100,1,1,0.0,-0.92,4.0,-2.7716342080384493,-2.857095552608371,0.0854613445699215,0.0,0.0
wien,48.212614,16.412059,20170103:0200,1,2,0.0,-0.68,4.21,-2.47832209803164,-2.561797872185707,0.08347577415406704,0.0,0.0
wien,48.212614,16.412059,20170103:0300,1,3,0.0,-0.6,4.34,-2.365815807133913,-2.4480671994388103,0.08225139230489731,0.0,0.0
wien,48.212614,16.412059,20170103:0400,1,4,0.0,-0.83,4.34,-2.591940639540553,-2.6740447618067265,0.08210412226617336,0.0,0.0
wien,48.212614,16.412059,20170103:0500,1,5,0.0,-1.22,4.28,-2.9907776974141598,-3.0732150189578533,0.08243732154369354,0.0,0.0
wien,48.212614,16.412059,20170103:0600,1,6,0.0,-1.46,4.0,-3.302169796079397,-3.3872789703309536,0.0851091742515564,0.0,0.0
wien,48.212614,16.412059,20170103:0700,1,7,13.0,-1.21,3.79,-2.6597291231155396,-3.018254740163684,0.35852561704814434,0.0,0.0
wien,48.212614,16.412059,20170103:0800,1,8,139.0,-0.21,4.14,2.5791213288903236,-0.23162247613072395,2.8107438050210476,0.0,0.0
wien,48.212614,16.412059,20170103:0900,1,9,208.0,0.98,5.1,5.388501109555364,1.756331967189908,3.6321691423654556,0.0,0.0
wien,48.212614,16.412059,20170103:1000,1,10,301.0,1.81,6.28,7.941261087544262,3.4242044016718864,4.517056685872376,0.0,0.0
wien,48.212614,16.412059,20170103:1100,1,11,238.0,2.6,6.55,7.008843002840877,3.525740997865796,3.4831020049750805,0.0,0.0
wien,48.212614,16.412059,20170103:1200,1,12,275.0,3.01,6.41,8.38705176487565,4.31644537486136,4.070606390014291,0.0,0.0
wien,48.212614,16.412059,20170103:1300,1,13,196.0,3.04,6.14,6.578981154598296,3.563252156600356,3.0157289979979396,0.0,0.0
wien,48.212614,16.412059,20170103:1400,1,14,83.0,2.47,5.72,3.179624266922474,1.7918282840400934,1.3877959828823805,0.0,0.0
wien,48.212614,16.412059,20170103:1500,1,15,0.0,1.35,5.45,-0.2005015593022108,-0.2743871137499809,0.07388555444777012,0.0,0.0
wien,48.212614,16.412059,20170103:1600,1,16,0.0,0.47,5.38,-1.0808344557881355,-1.1547313537448645,0.07389689795672894,0.0,0.0
